Time,PX,PY,PZ,TX,TY,TZ
0.550,408.53,0.00,2.88,1000.00,0.00,0.00
0.555,411.90,0.00,2.89,1000.00,0.00,0.00
0.560,415.26,0.00,2.90,1000.00,0.00,0.00
0.565,418.61,0.00,2.91,1000.00,0.00,0.00
0.570,421.96,0.00,2.92,1000.00,0.00,0.00
0.575,425.31,0.00,2.93,1000.00,0.00,0.00
0.580,428.65,0.00,2.94,1000.00,0.00,0.00
0.585,431.98,0.00,2.95,1000.00,0.00,0.00
0.590,435.31,0.00,2.96,1000.00,0.00,0.00
0.595,438.63,0.00,2.97,1000.00,0.00,0.00
0.600,441.95,0.00,2.97,1000.00,0.00,0.00
0.605,445.26,0.00,2.98,1000.00,0.00,0.00
0.610,448.57,0.00,2.99,1000.00,0.00,0.00
0.615,451.87,0.00,3.00,1000.00,0.00,0.00
0.620,455.16,0.00,3.00,1000.00,0.00,0.00
0.625,458.45,0.00,3.01,1000.00,0.00,0.00
0.630,461.74,0.00,3.02,1000.00,0.00,0.00
0.635,465.02,0.00,3.02,1000.00,0.00,0.00
0.640,468.29,0.00,3.03,1000.00,0.00,0.00
0.645,471.56,0.00,3.04,1000.00,0.00,0.00
0.650,474.82,0.00,3.04,1000.00,0.00,0.00
0.655,478.08,0.00,3.05,1000.00,0.00,0.00
0.660,481.33,0.00,3.05,1000.00,0.00,0.00
0.665,484.58,0.00,3.06,1000.00,0.00,0.00
0.670,487.82,0.00,3.06,1000.00,0.00,0.00
0.675,491.05,0.00,3.07,1000.00,0.00,0.00
0.680,494.29,0.00,3.07,1000.00,0.00,0.00
0.685,497.51,0.00,3.07,1000.00,0.00,0.00
0.690,500.73,0.00,3.08,1000.00,0.00,0.00
0.695,503.94,0.00,3.08,1000.00,0.00,0.00
0.700,507.15,0.00,3.08,1000.00,0.00,0.00
0.705,510.36,0.00,3.09,1000.00,0.00,0.00
0.710,513.56,0.00,3.09,1000.00,0.00,0.00
0.715,516.75,0.00,3.09,1000.00,0.00,0.00
0.720,519.94,0.00,3.09,1000.00,0.00,0.00
0.725,523.12,0.00,3.10,1000.00,0.00,0.00
0.730,526.30,0.00,3.10,1000.00,0.00,0.00
0.735,529.47,0.00,3.10,1000.00,0.00,0.00
0.740,532.64,0.00,3.10,1000.00,0.00,0.00
0.745,535.80,0.00,3.10,1000.00,0.00,0.00
0.750,538.96,0.00,3.10,1000.00,0.00,0.00
0.755,542.11,0.00,3.10,1000.00,0.00,0.00
0.760,545.26,0.00,3.10,1000.00,0.00,0.00
0.765,548.40,0.00,3.10,1000.00,0.00,0.00
0.770,551.54,0.00,3.10,1000.00,0.00,0.00
0.775,554.67,0.00,3.10,1000.00,0.00,0.00
0.780,557.80,0.00,3.10,1000.00,0.00,0.00
0.785,560.92,0.00,3.10,1000.00,0.00,0.00
0.790,564.04,0.00,3.10,1000.00,0.00,0.00
0.795,567.15,0.00,3.10,1000.00,0.00,0.00
0.800,570.25,0.00,3.09,1000.00,0.00,0.00
0.805,573.35,0.00,3.09,1000.00,0.00,0.00
0.810,576.45,0.00,3.09,1000.00,0.00,0.00
0.815,579.54,0.00,3.09,1000.00,0.00,0.00
0.820,582.63,0.00,3.09,1000.00,0.00,0.00
0.825,585.71,0.00,3.08,1000.00,0.00,0.00
0.830,588.79,0.00,3.08,1000.00,0.00,0.00
0.835,591.86,0.00,3.08,1000.00,0.00,0.00
0.840,594.93,0.00,3.07,1000.00,0.00,0.00
0.845,597.99,0.00,3.07,1000.00,0.00,0.00
0.850,601.04,0.00,3.06,1000.00,0.00,0.00
0.855,604.10,0.00,3.06,1000.00,0.00,0.00
0.860,607.14,0.00,3.05,1000.00,0.00,0.00
0.865,610.18,0.00,3.05,1000.00,0.00,0.00
0.870,613.22,0.00,3.04,1000.00,0.00,0.00
0.875,616.25,0.00,3.04,1000.00,0.00,0.00
0.880,619.28,0.00,3.03,1000.00,0.00,0.00
0.885,622.30,0.00,3.03,1000.00,0.00,0.00
0.890,625.32,0.00,3.02,1000.00,0.00,0.00
0.895,628.33,0.00,3.01,1000.00,0.00,0.00
0.900,631.34,0.00,3.01,1000.00,0.00,0.00
0.905,634.35,0.00,3.00,1000.00,0.00,0.00
0.910,637.34,0.00,2.99,1000.00,0.00,0.00
0.915,640.34,0.00,2.99,1000.00,0.00,0.00
0.920,643.33,0.00,2.98,1000.00,0.00,0.00
0.925,646.31,0.00,2.97,1000.00,0.00,0.00
0.930,649.29,0.00,2.96,1000.00,0.00,0.00
0.935,652.27,0.00,2.96,1000.00,0.00,0.00
0.940,655.24,0.00,2.95,1000.00,0.00,0.00
0.945,658.20,0.00,2.94,1000.00,0.00,0.00
0.950,661.16,0.00,2.93,1000.00,0.00,0.00
0.955,664.12,0.00,2.92,1000.00,0.00,0.00
0.960,667.07,0.00,2.91,1000.00,0.00,0.00
0.965,670.02,0.00,2.90,1000.00,0.00,0.00
0.970,672.96,0.00,2.89,1000.00,0.00,0.00
0.975,675.89,0.00,2.88,1000.00,0.00,0.00
0.980,678.83,0.00,2.87,1000.00,0.00,0.00
0.985,681.76,0.00,2.86,1000.00,0.00,0.00
0.990,684.68,0.00,2.85,1000.00,0.00,0.00
0.995,687.60,0.00,2.84,1000.00,0.00,0.00
1.000,690.51,0.00,2.83,1000.00,0.00,0.00
1.005,693.42,0.00,2.82,1000.00,0.00,0.00
1.010,696.33,0.00,2.80,1000.00,0.00,0.00
1.015,699.23,0.00,2.79,1000.00,0.00,0.00
1.020,702.12,0.00,2.78,1000.00,0.00,0.00
1.025,705.01,0.00,2.77,1000.00,0.00,0.00
1.030,707.90,0.00,2.75,1000.00,0.00,0.00
1.035,710.78,0.00,2.74,1000.00,0.00,0.00
1.040,713.66,0.00,2.73,1000.00,0.00,0.00
1.045,716.53,0.00,2.72,1000.00,0.00,0.00
1.050,719.40,0.00,2.70,1000.00,0.00,0.00
1.055,722.27,0.00,2.69,1000.00,0.00,0.00
1.060,725.13,0.00,2.67,1000.00,0.00,0.00
1.065,727.98,0.00,2.66,1000.00,0.00,0.00
1.070,730.83,0.00,2.65,1000.00,0.00,0.00
1.075,733.68,0.00,2.63,1000.00,0.00,0.00
1.080,736.52,0.00,2.62,1000.00,0.00,0.00
1.085,739.36,0.00,2.60,1000.00,0.00,0.00
1.090,742.19,0.00,2.59,1000.00,0.00,0.00
1.095,745.02,0.00,2.57,1000.00,0.00,0.00
1.100,747.85,0.00,2.56,1000.00,0.00,0.00
1.105,750.67,0.00,2.54,1000.00,0.00,0.00
1.110,753.48,0.00,2.52,1000.00,0.00,0.00
1.115,756.30,0.00,2.51,1000.00,0.00,0.00
1.120,759.10,0.00,2.49,1000.00,0.00,0.00
1.125,761.91,0.00,2.47,1000.00,0.00,0.00
1.130,764.70,0.00,2.46,1000.00,0.00,0.00
1.135,767.50,0.00,2.44,1000.00,0.00,0.00
1.140,770.29,0.00,2.42,1000.00,0.00,0.00
1.145,773.07,0.00,2.40,1000.00,0.00,0.00
1.150,775.86,0.00,2.39,1000.00,0.00,0.00
1.155,778.63,0.00,2.37,1000.00,0.00,0.00
1.160,781.41,0.00,2.35,1000.00,0.00,0.00
1.165,784.17,0.00,2.33,1000.00,0.00,0.00
1.170,786.94,0.00,2.31,1000.00,0.00,0.00
1.175,789.70,0.00,2.29,1000.00,0.00,0.00
1.180,792.45,0.00,2.27,1000.00,0.00,0.00
1.185,795.21,0.00,2.25,1000.00,0.00,0.00
1.190,797.95,0.00,2.23,1000.00,0.00,0.00
1.195,800.70,0.00,2.22,1000.00,0.00,0.00
1.200,803.44,0.00,2.19,1000.00,0.00,0.00
1.205,806.17,0.00,2.17,1000.00,0.00,0.00
1.210,808.90,0.00,2.15,1000.00,0.00,0.00
1.215,811.63,0.00,2.13,1000.00,0.00,0.00
1.220,814.35,0.00,2.11,1000.00,0.00,0.00
1.225,817.07,0.00,2.09,1000.00,0.00,0.00
1.230,819.78,0.00,2.07,1000.00,0.00,0.00
1.235,822.49,0.00,2.05,1000.00,0.00,0.00
1.240,825.20,0.00,2.03,1000.00,0.00,0.00
1.245,827.90,0.00,2.00,1000.00,0.00,0.00
1.250,830.60,0.00,1.98,1000.00,0.00,0.00
1.255,833.29,0.00,1.96,1000.00,0.00,0.00
1.260,835.98,0.00,1.94,1000.00,0.00,0.00
1.265,838.67,0.00,1.91,1000.00,0.00,0.00
1.270,841.35,0.00,1.89,1000.00,0.00,0.00
1.275,844.03,0.00,1.87,1000.00,0.00,0.00
1.280,846.70,0.00,1.84,1000.00,0.00,0.00
1.285,849.37,0.00,1.82,1000.00,0.00,0.00
1.290,852.04,0.00,1.80,1000.00,0.00,0.00
1.295,854.70,0.00,1.77,1000.00,0.00,0.00
1.300,857.35,0.00,1.75,1000.00,0.00,0.00
1.305,860.01,0.00,1.72,1000.00,0.00,0.00
1.310,862.66,0.00,1.70,1000.00,0.00,0.00
1.315,865.30,0.00,1.67,1000.00,0.00,0.00
1.320,867.94,0.00,1.65,1000.00,0.00,0.00
1.325,870.58,0.00,1.62,1000.00,0.00,0.00
1.330,873.22,0.00,1.60,1000.00,0.00,0.00
1.335,875.85,0.00,1.57,1000.00,0.00,0.00
1.340,878.47,0.00,1.55,1000.00,0.00,0.00
1.345,881.09,0.00,1.52,1000.00,0.00,0.00
1.350,883.71,0.00,1.49,1000.00,0.00,0.00
1.355,886.33,0.00,1.47,1000.00,0.00,0.00
1.360,888.94,0.00,1.44,1000.00,0.00,0.00
1.365,891.54,0.00,1.41,1000.00,0.00,0.00
1.370,894.14,0.00,1.39,1000.00,0.00,0.00
1.375,896.74,0.00,1.36,1000.00,0.00,0.00
1.380,899.34,0.00,1.33,1000.00,0.00,0.00
1.385,901.93,0.00,1.30,1000.00,0.00,0.00
1.390,904.52,0.00,1.28,1000.00,0.00,0.00
1.395,907.10,0.00,1.25,1000.00,0.00,0.00
1.400,909.68,0.00,1.22,1000.00,0.00,0.00
1.405,912.25,0.00,1.19,1000.00,0.00,0.00
1.410,914.83,0.00,1.16,1000.00,0.00,0.00
1.415,917.39,0.00,1.13,1000.00,0.00,0.00
1.420,919.96,0.00,1.10,1000.00,0.00,0.00
1.425,922.52,0.00,1.07,1000.00,0.00,0.00
1.430,925.08,0.00,1.04,1000.00,0.00,0.00
1.435,927.63,0.00,1.01,1000.00,0.00,0.00
1.440,930.18,0.00,0.98,1000.00,0.00,0.00
1.445,932.72,0.00,0.95,1000.00,0.00,0.00
1.450,935.27,0.00,0.92,1000.00,0.00,0.00
1.455,937.80,0.00,0.89,1000.00,0.00,0.00
1.460,940.34,0.00,0.86,1000.00,0.00,0.00
1.465,942.87,0.00,0.83,1000.00,0.00,0.00
1.470,945.40,0.00,0.80,1000.00,0.00,0.00
1.475,947.92,0.00,0.77,1000.00,0.00,0.00
1.480,950.44,0.00,0.74,1000.00,0.00,0.00
1.485,952.95,0.00,0.70,1000.00,0.00,0.00
1.490,955.47,0.00,0.67,1000.00,0.00,0.00
1.495,957.98,0.00,0.64,1000.00,0.00,0.00
1.500,960.48,0.00,0.61,1000.00,0.00,0.00
1.505,962.98,0.00,0.58,1000.00,0.00,0.00
1.510,965.48,0.00,0.54,1000.00,0.00,0.00
1.515,967.97,0.00,0.51,1000.00,0.00,0.00
1.520,970.46,0.00,0.48,1000.00,0.00,0.00
1.525,972.95,0.00,0.44,1000.00,0.00,0.00
1.530,975.43,0.00,0.41,1000.00,0.00,0.00
1.535,977.91,0.00,0.38,1000.00,0.00,0.00
1.540,980.39,0.00,0.34,1000.00,0.00,0.00
1.545,982.86,0.00,0.31,1000.00,0.00,0.00
1.550,985.33,0.00,0.27,1000.00,0.00,0.00
1.555,987.80,0.00,0.24,1000.00,0.00,0.00
1.560,990.26,0.00,0.20,1000.00,0.00,0.00
1.565,992.72,0.00,0.17,1000.00,0.00,0.00
1.570,995.17,0.00,0.13,1000.00,0.00,0.00
1.575,997.62,0.00,0.10,1000.00,0.00,0.00
1.580,1000.07,0.00,0.06,1000.00,0.00,0.00
1.585,1002.52,0.00,0.03,1000.00,0.00,0.00
