Time,PX,PY,PZ,TX,TY,TZ
0.005,4.06,0.05,0.23,1199.90,15.00,50.00
0.010,8.11,0.10,0.46,1199.80,15.00,50.00
0.015,12.16,0.16,0.68,1199.70,15.00,50.00
0.020,16.20,0.21,0.91,1199.60,15.00,50.00
0.025,20.23,0.26,1.13,1199.50,15.00,50.00
0.030,24.25,0.31,1.36,1199.40,15.00,50.00
0.035,28.27,0.37,1.58,1199.30,15.00,50.00
0.040,32.27,0.42,1.81,1199.20,15.00,50.00
0.045,36.27,0.47,2.03,1199.10,15.00,50.00
0.050,40.27,0.52,2.25,1199.00,15.00,50.00
0.055,44.25,0.57,2.47,1198.90,15.00,50.00
0.060,48.23,0.62,2.69,1198.80,15.00,50.00
0.065,52.20,0.68,2.92,1198.70,15.00,50.00
0.070,56.16,0.73,3.13,1198.60,15.00,50.00
0.075,60.12,0.78,3.35,1198.50,15.00,50.00
0.080,64.07,0.83,3.57,1198.40,15.00,50.00
0.085,68.01,0.88,3.79,1198.30,15.00,50.00
0.090,71.95,0.93,4.01,1198.20,15.00,50.00
0.095,75.87,0.98,4.22,1198.10,15.00,50.00
0.100,79.79,1.03,4.44,1198.00,15.00,50.00
0.105,83.71,1.08,4.65,1197.90,15.00,50.00
0.110,87.61,1.13,4.87,1197.80,15.00,50.00
0.115,91.51,1.18,5.08,1197.70,15.00,50.00
0.120,95.40,1.23,5.30,1197.60,15.00,50.00
0.125,99.29,1.28,5.51,1197.50,15.00,50.00
0.130,103.16,1.33,5.72,1197.40,15.00,50.00
0.135,107.03,1.38,5.93,1197.30,15.00,50.00
0.140,110.90,1.43,6.14,1197.20,15.00,50.00
0.145,114.75,1.48,6.35,1197.10,15.00,50.00
0.150,118.60,1.53,6.56,1197.00,15.00,50.00
0.155,122.44,1.58,6.77,1196.90,15.00,50.00
0.160,126.28,1.63,6.98,1196.80,15.00,50.00
0.165,130.11,1.68,7.19,1196.70,15.00,50.00
0.170,133.93,1.73,7.39,1196.60,15.00,50.00
0.175,137.74,1.78,7.60,1196.50,15.00,50.00
0.180,141.55,1.83,7.80,1196.40,15.00,50.00
0.185,145.35,1.88,8.01,1196.30,15.00,50.00
0.190,149.14,1.93,8.21,1196.20,15.00,50.00
0.195,152.93,1.98,8.42,1196.10,15.00,50.00
0.200,156.71,2.03,8.62,1196.00,15.00,50.00
0.205,160.48,2.08,8.82,1195.90,15.00,50.00
0.210,164.25,2.12,9.03,1195.80,15.00,50.00
0.215,168.01,2.17,9.23,1195.70,15.00,50.00
0.220,171.76,2.22,9.43,1195.60,15.00,50.00
0.225,175.51,2.27,9.63,1195.50,15.00,50.00
0.230,179.25,2.32,9.83,1195.40,15.00,50.00
0.235,182.98,2.37,10.03,1195.30,15.00,50.00
0.240,186.71,2.41,10.23,1195.20,15.00,50.00
0.245,190.43,2.46,10.42,1195.10,15.00,50.00
0.250,194.14,2.51,10.62,1195.00,15.00,50.00
0.255,197.85,2.56,10.82,1194.90,15.00,50.00
0.260,201.55,2.61,11.01,1194.80,15.00,50.00
0.265,205.24,2.65,11.21,1194.70,15.00,50.00
0.270,208.93,2.70,11.40,1194.60,15.00,50.00
0.275,212.61,2.75,11.60,1194.50,15.00,50.00
0.280,216.29,2.80,11.79,1194.40,15.00,50.00
0.285,219.95,2.84,11.98,1194.30,15.00,50.00
0.290,223.61,2.89,12.18,1194.20,15.00,50.00
0.295,227.27,2.94,12.37,1194.10,15.00,50.00
0.300,230.92,2.99,12.56,1194.00,15.00,50.00
0.305,234.56,3.03,12.75,1193.90,15.00,50.00
0.310,238.20,3.08,12.94,1193.80,15.00,50.00
0.315,241.82,3.13,13.13,1193.70,15.00,50.00
0.320,245.45,3.17,13.32,1193.60,15.00,50.00
0.325,249.06,3.22,13.51,1193.50,15.00,50.00
0.330,252.67,3.27,13.70,1193.40,15.00,50.00
0.335,256.28,3.31,13.88,1193.30,15.00,50.00
0.340,259.88,3.36,14.07,1193.20,15.00,50.00
0.345,263.47,3.41,14.26,1193.10,15.00,50.00
0.350,267.05,3.45,14.44,1193.00,15.00,50.00
0.355,270.63,3.50,14.63,1192.90,15.00,50.00
0.360,274.20,3.55,14.81,1192.80,15.00,50.00
0.365,277.77,3.59,15.00,1192.70,15.00,50.00
0.370,281.33,3.64,15.18,1192.60,15.00,50.00
0.375,284.89,3.68,15.36,1192.50,15.00,50.00
0.380,288.43,3.73,15.54,1192.40,15.00,50.00
0.385,291.98,3.78,15.73,1192.30,15.00,50.00
0.390,295.51,3.82,15.91,1192.20,15.00,50.00
0.395,299.04,3.87,16.09,1192.10,15.00,50.00
0.400,302.57,3.91,16.27,1192.00,15.00,50.00
0.405,306.08,3.96,16.45,1191.90,15.00,50.00
0.410,309.60,4.00,16.63,1191.80,15.00,50.00
0.415,313.10,4.05,16.80,1191.70,15.00,50.00
0.420,316.60,4.09,16.98,1191.60,15.00,50.00
0.425,320.10,4.14,17.16,1191.50,15.00,50.00
0.430,323.58,4.18,17.34,1191.40,15.00,50.00
0.435,327.07,4.23,17.51,1191.30,15.00,50.00
0.440,330.54,4.27,17.69,1191.20,15.00,50.00
0.445,334.01,4.32,17.86,1191.10,15.00,50.00
0.450,337.48,4.36,18.04,1191.00,15.00,50.00
0.455,340.93,4.41,18.21,1190.90,15.00,50.00
0.460,344.39,4.45,18.38,1190.80,15.00,50.00
0.465,347.83,4.50,18.56,1190.70,15.00,50.00
0.470,351.27,4.54,18.73,1190.60,15.00,50.00
0.475,354.71,4.59,18.90,1190.50,15.00,50.00
0.480,358.14,4.63,19.07,1190.40,15.00,50.00
0.485,361.56,4.67,19.24,1190.30,15.00,50.00
0.490,364.98,4.72,19.41,1190.20,15.00,50.00
0.495,368.39,4.76,19.58,1190.10,15.00,50.00
0.500,371.80,4.81,19.75,1190.00,15.00,50.00
0.505,375.20,4.85,19.92,1189.90,15.00,50.00
0.510,378.59,4.89,20.09,1189.80,15.00,50.00
0.515,381.98,4.94,20.26,1189.70,15.00,50.00
0.520,385.37,4.98,20.42,1189.60,15.00,50.00
0.525,388.75,5.03,20.59,1189.50,15.00,50.00
0.530,392.12,5.07,20.76,1189.40,15.00,50.00
0.535,395.48,5.11,20.92,1189.30,15.00,50.00
0.540,398.85,5.16,21.09,1189.20,15.00,50.00
0.545,402.20,5.20,21.25,1189.10,15.00,50.00
0.550,405.55,5.24,21.41,1189.00,15.00,50.00
0.555,408.90,5.29,21.58,1188.90,15.00,50.00
0.560,412.23,5.33,21.74,1188.80,15.00,50.00
0.565,415.57,5.37,21.90,1188.70,15.00,50.00
0.570,418.90,5.42,22.06,1188.60,15.00,50.00
0.575,422.22,5.46,22.23,1188.50,15.00,50.00
0.580,425.53,5.50,22.39,1188.40,15.00,50.00
0.585,428.85,5.54,22.55,1188.30,15.00,50.00
0.590,432.15,5.59,22.71,1188.20,15.00,50.00
0.595,435.45,5.63,22.87,1188.10,15.00,50.00
0.600,438.75,5.67,23.03,1188.00,15.00,50.00
0.605,442.04,5.71,23.18,1187.90,15.00,50.00
0.610,445.32,5.76,23.34,1187.80,15.00,50.00
0.615,448.60,5.80,23.50,1187.70,15.00,50.00
0.620,451.87,5.84,23.66,1187.60,15.00,50.00
0.625,455.14,5.88,23.81,1187.50,15.00,50.00
0.630,458.40,5.93,23.97,1187.40,15.00,50.00
0.635,461.66,5.97,24.12,1187.30,15.00,50.00
0.640,464.91,6.01,24.28,1187.20,15.00,50.00
0.645,468.16,6.05,24.43,1187.10,15.00,50.00
0.650,471.40,6.09,24.58,1187.00,15.00,50.00
0.655,474.63,6.14,24.74,1186.90,15.00,50.00
0.660,477.86,6.18,24.89,1186.80,15.00,50.00
0.665,481.09,6.22,25.04,1186.70,15.00,50.00
0.670,484.31,6.26,25.19,1186.60,15.00,50.00
0.675,487.52,6.30,25.35,1186.50,15.00,50.00
0.680,490.73,6.34,25.50,1186.40,15.00,50.00
0.685,493.93,6.39,25.65,1186.30,15.00,50.00
0.690,497.13,6.43,25.80,1186.20,15.00,50.00
0.695,500.33,6.47,25.95,1186.10,15.00,50.00
0.700,503.51,6.51,26.10,1186.00,15.00,50.00
0.705,506.70,6.55,26.24,1185.90,15.00,50.00
0.710,509.87,6.59,26.39,1185.80,15.00,50.00
0.715,513.05,6.63,26.54,1185.70,15.00,50.00
0.720,516.21,6.67,26.69,1185.60,15.00,50.00
0.725,519.38,6.71,26.83,1185.50,15.00,50.00
0.730,522.53,6.76,26.98,1185.40,15.00,50.00
0.735,525.69,6.80,27.12,1185.30,15.00,50.00
