Time,PX,PY,PZ,TX,TY,TZ
0.740,528.83,6.84,27.27,1185.20,15.00,50.00
0.745,531.97,6.88,27.41,1185.10,15.00,50.00
0.750,535.11,6.92,27.56,1185.00,15.00,50.00
0.755,538.24,6.96,27.70,1184.90,15.00,50.00
0.760,541.37,7.00,27.84,1184.80,15.00,50.00
0.765,544.49,7.04,27.99,1184.70,15.00,50.00
0.770,547.61,7.08,28.13,1184.60,15.00,50.00
0.775,550.72,7.12,28.27,1184.50,15.00,50.00
0.780,553.82,7.16,28.41,1184.40,15.00,50.00
0.785,556.93,7.20,28.55,1184.30,15.00,50.00
0.790,560.02,7.24,28.69,1184.20,15.00,50.00
0.795,563.11,7.28,28.83,1184.10,15.00,50.00
0.800,566.20,7.32,28.97,1184.00,15.00,50.00
0.805,569.28,7.36,29.11,1183.90,15.00,50.00
0.810,572.36,7.40,29.25,1183.80,15.00,50.00
0.815,575.43,7.44,29.38,1183.70,15.00,50.00
0.820,578.50,7.48,29.52,1183.60,15.00,50.00
0.825,581.56,7.52,29.66,1183.50,15.00,50.00
0.830,584.61,7.56,29.80,1183.40,15.00,50.00
0.835,587.67,7.60,29.93,1183.30,15.00,50.00
0.840,590.71,7.64,30.07,1183.20,15.00,50.00
0.845,593.76,7.68,30.20,1183.10,15.00,50.00
0.850,596.79,7.71,30.34,1183.00,15.00,50.00
0.855,599.82,7.75,30.47,1182.90,15.00,50.00
0.860,602.85,7.79,30.60,1182.80,15.00,50.00
0.865,605.87,7.83,30.74,1182.70,15.00,50.00
0.870,608.89,7.87,30.87,1182.60,15.00,50.00
0.875,611.91,7.91,31.00,1182.50,15.00,50.00
0.880,614.91,7.95,31.13,1182.40,15.00,50.00
0.885,617.92,7.99,31.27,1182.30,15.00,50.00
0.890,620.92,8.03,31.40,1182.20,15.00,50.00
0.895,623.91,8.06,31.53,1182.10,15.00,50.00
0.900,626.90,8.10,31.66,1182.00,15.00,50.00
0.905,629.88,8.14,31.79,1181.90,15.00,50.00
0.910,632.86,8.18,31.92,1181.80,15.00,50.00
0.915,635.84,8.22,32.04,1181.70,15.00,50.00
0.920,638.81,8.26,32.17,1181.60,15.00,50.00
0.925,641.77,8.30,32.30,1181.50,15.00,50.00
0.930,644.73,8.33,32.43,1181.40,15.00,50.00
0.935,647.69,8.37,32.55,1181.30,15.00,50.00
0.940,650.64,8.41,32.68,1181.20,15.00,50.00
0.945,653.59,8.45,32.81,1181.10,15.00,50.00
0.950,656.53,8.49,32.93,1181.00,15.00,50.00
0.955,659.47,8.52,33.06,1180.90,15.00,50.00
0.960,662.40,8.56,33.18,1180.80,15.00,50.00
0.965,665.33,8.60,33.31,1180.70,15.00,50.00
0.970,668.25,8.64,33.43,1180.60,15.00,50.00
0.975,671.17,8.68,33.55,1180.50,15.00,50.00
0.980,674.09,8.71,33.68,1180.40,15.00,50.00
0.985,677.00,8.75,33.80,1180.30,15.00,50.00
0.990,679.90,8.79,33.92,1180.20,15.00,50.00
0.995,682.80,8.83,34.04,1180.10,15.00,50.00
1.000,685.70,8.86,34.16,1180.00,15.00,50.00
1.005,688.59,8.90,34.28,1179.90,15.00,50.00
1.010,691.48,8.94,34.40,1179.80,15.00,50.00
1.015,694.36,8.97,34.52,1179.70,15.00,50.00
1.020,697.24,9.01,34.64,1179.60,15.00,50.00
1.025,700.11,9.05,34.76,1179.51,15.00,50.00
1.030,702.98,9.09,34.88,1179.41,15.00,50.00
1.035,705.85,9.12,35.00,1179.31,15.00,50.00
1.040,708.71,9.16,35.12,1179.21,15.00,50.00
1.045,711.57,9.20,35.23,1179.11,15.00,50.00
1.050,714.42,9.23,35.35,1179.01,15.00,50.00
1.055,717.26,9.27,35.47,1178.91,15.00,50.00
1.060,720.11,9.31,35.58,1178.81,15.00,50.00
1.065,722.95,9.34,35.70,1178.71,15.00,50.00
1.070,725.78,9.38,35.81,1178.61,15.00,50.00
1.075,728.61,9.42,35.93,1178.51,15.00,50.00
1.080,731.43,9.45,36.04,1178.41,15.00,50.00
1.085,734.25,9.49,36.16,1178.31,15.00,50.00
1.090,737.07,9.53,36.27,1178.21,15.00,50.00
1.095,739.88,9.56,36.38,1178.11,15.00,50.00
1.100,742.69,9.60,36.50,1178.01,15.00,50.00
1.105,745.49,9.64,36.61,1177.91,15.00,50.00
1.110,748.29,9.67,36.72,1177.81,15.00,50.00
1.115,751.09,9.71,36.83,1177.71,15.00,50.00
1.120,753.88,9.74,36.94,1177.61,15.00,50.00
1.125,756.67,9.78,37.05,1177.51,15.00,50.00
1.130,759.45,9.82,37.16,1177.41,15.00,50.00
1.135,762.23,9.85,37.27,1177.31,15.00,50.00
1.140,765.00,9.89,37.38,1177.21,15.00,50.00
1.145,767.77,9.92,37.49,1177.11,15.00,50.00
1.150,770.53,9.96,37.60,1177.01,15.00,50.00
1.155,773.29,9.99,37.71,1176.91,15.00,50.00
1.160,776.05,10.03,37.82,1176.81,15.00,50.00
1.165,778.80,10.07,37.92,1176.71,15.00,50.00
1.170,781.55,10.10,38.03,1176.61,15.00,50.00
1.175,784.30,10.14,38.14,1176.51,15.00,50.00
1.180,787.04,10.17,38.24,1176.41,15.00,50.00
1.185,789.77,10.21,38.35,1176.31,15.00,50.00
1.190,792.50,10.24,38.45,1176.21,15.00,50.00
1.195,795.23,10.28,38.56,1176.11,15.00,50.00
1.200,797.95,10.31,38.66,1176.01,15.00,50.00
1.205,800.67,10.35,38.77,1175.91,15.00,50.00
1.210,803.39,10.38,38.87,1175.81,15.00,50.00
1.215,806.10,10.42,38.97,1175.71,15.00,50.00
1.220,808.81,10.45,39.07,1175.61,15.00,50.00
1.225,811.51,10.49,39.18,1175.51,15.00,50.00
1.230,814.21,10.52,39.28,1175.41,15.00,50.00
1.235,816.90,10.56,39.38,1175.31,15.00,50.00
1.240,819.59,10.59,39.48,1175.21,15.00,50.00
1.245,822.28,10.63,39.58,1175.11,15.00,50.00
1.250,824.96,10.66,39.68,1175.01,15.00,50.00
1.255,827.64,10.70,39.78,1174.91,15.00,50.00
1.260,830.31,10.73,39.88,1174.81,15.00,50.00
1.265,832.98,10.77,39.98,1174.71,15.00,50.00
1.270,835.65,10.80,40.08,1174.61,15.00,50.00
1.275,838.31,10.83,40.18,1174.51,15.00,50.00
1.280,840.97,10.87,40.28,1174.41,15.00,50.00
1.285,843.63,10.90,40.37,1174.31,15.00,50.00
1.290,846.28,10.94,40.47,1174.21,15.00,50.00
1.295,848.92,10.97,40.57,1174.11,15.00,50.00
1.300,851.57,11.01,40.67,1174.01,15.00,50.00
1.305,854.21,11.04,40.76,1173.91,15.00,50.00
1.310,856.84,11.07,40.86,1173.81,15.00,50.00
1.315,859.47,11.11,40.95,1173.71,15.00,50.00
1.320,862.10,11.14,41.05,1173.61,15.00,50.00
1.325,864.72,11.17,41.14,1173.51,15.00,50.00
1.330,867.34,11.21,41.24,1173.41,15.00,50.00
1.335,869.96,11.24,41.33,1173.31,15.00,50.00
1.340,872.57,11.28,41.42,1173.21,15.00,50.00
1.345,875.17,11.31,41.52,1173.11,15.00,50.00
1.350,877.78,11.34,41.61,1173.01,15.00,50.00
1.355,880.38,11.38,41.70,1172.91,15.00,50.00
1.360,882.97,11.41,41.79,1172.81,15.00,50.00
1.365,885.57,11.44,41.88,1172.71,15.00,50.00
1.370,888.15,11.48,41.98,1172.61,15.00,50.00
1.375,890.74,11.51,42.07,1172.51,15.00,50.00
1.380,893.32,11.54,42.16,1172.41,15.00,50.00
1.385,895.90,11.58,42.25,1172.31,15.00,50.00
1.390,898.47,11.61,42.34,1172.21,15.00,50.00
1.395,901.04,11.64,42.42,1172.11,15.00,50.00
1.400,903.60,11.68,42.51,1172.01,15.00,50.00
1.405,906.17,11.71,42.60,1171.91,15.00,50.00
1.410,908.72,11.74,42.69,1171.81,15.00,50.00
1.415,911.28,11.78,42.78,1171.71,15.00,50.00
1.420,913.83,11.81,42.86,1171.61,15.00,50.00
1.425,916.38,11.84,42.95,1171.51,15.00,50.00
1.430,918.92,11.87,43.04,1171.41,15.00,50.00
1.435,921.46,11.91,43.12,1171.31,15.00,50.00
1.440,924.00,11.94,43.21,1171.21,15.00,50.00
1.445,926.53,11.97,43.30,1171.11,15.00,50.00
1.450,929.06,12.01,43.38,1171.01,15.00,50.00
1.455,931.58,12.04,43.47,1170.91,15.00,50.00
1.460,934.10,12.07,43.55,1170.81,15.00,50.00
1.465,936.62,12.10,43.63,1170.71,15.00,50.00
1.470,939.13,12.14,43.72,1170.61,15.00,50.00
1.475,941.64,12.17,43.80,1170.51,15.00,50.00
1.480,944.15,12.20,43.88,1170.41,15.00,50.00
1.485,946.65,12.23,43.97,1170.31,15.00,50.00
1.490,949.15,12.26,44.05,1170.21,15.00,50.00
1.495,951.65,12.30,44.13,1170.11,15.00,50.00
1.500,954.14,12.33,44.21,1170.01,15.00,50.00
1.505,956.63,12.36,44.29,1169.91,15.00,50.00
1.510,959.11,12.39,44.37,1169.81,15.00,50.00
1.515,961.59,12.43,44.45,1169.71,15.00,50.00
1.520,964.07,12.46,44.53,1169.61,15.00,50.00
1.525,966.55,12.49,44.61,1169.51,15.00,50.00
1.530,969.02,12.52,44.69,1169.41,15.00,50.00
1.535,971.48,12.55,44.77,1169.31,15.00,50.00
1.540,973.95,12.58,44.85,1169.21,15.00,50.00
1.545,976.41,12.62,44.93,1169.11,15.00,50.00
1.550,978.86,12.65,45.01,1169.01,15.00,50.00
1.555,981.32,12.68,45.08,1168.91,15.00,50.00
1.560,983.77,12.71,45.16,1168.81,15.00,50.00
1.565,986.21,12.74,45.24,1168.71,15.00,50.00
1.570,988.65,12.77,45.31,1168.61,15.00,50.00
1.575,991.09,12.81,45.39,1168.51,15.00,50.00
1.580,993.53,12.84,45.47,1168.41,15.00,50.00
1.585,995.96,12.87,45.54,1168.31,15.00,50.00
1.590,998.39,12.90,45.62,1168.21,15.00,50.00
1.595,1000.81,12.93,45.69,1168.11,15.00,50.00
1.600,1003.24,12.96,45.76,1168.01,15.00,50.00
1.605,1005.65,12.99,45.84,1167.91,15.00,50.00
1.610,1008.07,13.03,45.91,1167.81,15.00,50.00
1.615,1010.48,13.06,45.99,1167.71,15.00,50.00
1.620,1012.89,13.09,46.06,1167.61,15.00,50.00
1.625,1015.29,13.12,46.13,1167.51,15.00,50.00
1.630,1017.69,13.15,46.20,1167.41,15.00,50.00
1.635,1020.09,13.18,46.27,1167.31,15.00,50.00
1.640,1022.48,13.21,46.35,1167.21,15.00,50.00
1.645,1024.87,13.24,46.42,1167.11,15.00,50.00
1.650,1027.26,13.27,46.49,1167.01,15.00,50.00
1.655,1029.65,13.30,46.56,1166.91,15.00,50.00
1.660,1032.03,13.33,46.63,1166.81,15.00,50.00
1.665,1034.40,13.37,46.70,1166.71,15.00,50.00
1.670,1036.78,13.40,46.77,1166.61,15.00,50.00
1.675,1039.15,13.43,46.84,1166.51,15.00,50.00
1.680,1041.52,13.46,46.91,1166.41,15.00,50.00
1.685,1043.88,13.49,46.97,1166.31,15.00,50.00
1.690,1046.24,13.52,47.04,1166.21,15.00,50.00
1.695,1048.60,13.55,47.11,1166.11,15.00,50.00
1.700,1050.95,13.58,47.18,1166.01,15.00,50.00
1.705,1053.30,13.61,47.24,1165.91,15.00,50.00
1.710,1055.65,13.64,47.31,1165.81,15.00,50.00
1.715,1057.99,13.67,47.38,1165.71,15.00,50.00
1.720,1060.34,13.70,47.44,1165.61,15.00,50.00
1.725,1062.67,13.73,47.51,1165.51,15.00,50.00
1.730,1065.01,13.76,47.57,1165.41,15.00,50.00
1.735,1067.34,13.79,47.64,1165.31,15.00,50.00
1.740,1069.67,13.82,47.70,1165.21,15.00,50.00
1.745,1071.99,13.85,47.77,1165.11,15.00,50.00
1.750,1074.31,13.88,47.83,1165.01,15.00,50.00
1.755,1076.63,13.91,47.90,1164.91,15.00,50.00
1.760,1078.95,13.94,47.96,1164.81,15.00,50.00
1.765,1081.26,13.97,48.02,1164.71,15.00,50.00
1.770,1083.57,14.00,48.08,1164.61,15.00,50.00
1.775,1085.87,14.03,48.15,1164.51,15.00,50.00
1.780,1088.17,14.06,48.21,1164.41,15.00,50.00
1.785,1090.47,14.09,48.27,1164.31,15.00,50.00
1.790,1092.77,14.12,48.33,1164.21,15.00,50.00
1.795,1095.06,14.15,48.39,1164.11,15.00,50.00
1.800,1097.35,14.18,48.45,1164.01,15.00,50.00
1.805,1099.64,14.21,48.51,1163.91,15.00,50.00
1.810,1101.92,14.24,48.57,1163.81,15.00,50.00
1.815,1104.20,14.27,48.63,1163.71,15.00,50.00
1.820,1106.47,14.30,48.69,1163.61,15.00,50.00
1.825,1108.75,14.32,48.75,1163.51,15.00,50.00
1.830,1111.02,14.35,48.81,1163.41,15.00,50.00
1.835,1113.29,14.38,48.87,1163.31,15.00,50.00
1.840,1115.55,14.41,48.93,1163.21,15.00,50.00
1.845,1117.81,14.44,48.99,1163.11,15.00,50.00
1.850,1120.07,14.47,49.04,1163.01,15.00,50.00
1.855,1122.32,14.50,49.10,1162.91,15.00,50.00
1.860,1124.58,14.53,49.16,1162.81,15.00,50.00
1.865,1126.83,14.56,49.21,1162.71,15.00,50.00
1.870,1129.07,14.59,49.27,1162.61,15.00,50.00
1.875,1131.31,14.62,49.32,1162.51,15.00,50.00
1.880,1133.55,14.64,49.38,1162.41,15.00,50.00
1.885,1135.79,14.67,49.44,1162.31,15.00,50.00
1.890,1138.02,14.70,49.49,1162.21,15.00,50.00
1.895,1140.25,14.73,49.54,1162.11,15.00,50.00
1.900,1142.48,14.76,49.60,1162.01,15.00,50.00
1.905,1144.71,14.79,49.65,1161.91,15.00,50.00
1.910,1146.93,14.82,49.71,1161.81,15.00,50.00
1.915,1149.15,14.85,49.76,1161.71,15.00,50.00
1.920,1151.36,14.87,49.81,1161.61,15.00,50.00
1.925,1153.57,14.90,49.86,1161.51,15.00,50.00
1.930,1155.78,14.93,49.92,1161.41,15.00,50.00
1.935,1157.99,14.96,49.97,1161.31,15.00,50.00
1.940,1160.19,14.99,50.02,1161.21,15.00,50.00
1.945,1162.39,15.02,50.07,1161.11,15.00,50.00
