Time,PX,PY,PZ,TX,TY,TZ
0.005,4.09,0.04,-0.00,1000.00,0.00,0.00
0.010,8.18,0.09,-0.00,1000.00,0.00,0.00
0.015,12.25,0.13,-0.00,1000.00,0.00,0.00
0.020,16.32,0.17,-0.00,1000.00,0.00,0.00
0.025,20.38,0.21,-0.00,1000.00,0.00,0.00
0.030,24.44,0.25,-0.00,1000.00,0.00,0.00
0.035,28.48,0.29,-0.00,1000.00,0.00,0.00
0.040,32.52,0.33,-0.00,1000.00,0.00,0.00
0.045,36.55,0.37,-0.00,1000.00,0.00,0.00
0.050,40.58,0.41,-0.00,1000.00,0.00,0.00
0.055,44.59,0.45,-0.00,1000.00,0.00,0.00
0.060,48.60,0.49,-0.00,1000.00,0.00,0.00
0.065,52.60,0.53,-0.00,1000.00,0.00,0.00
0.070,56.60,0.57,-0.00,1000.00,0.00,0.00
0.075,60.58,0.61,-0.00,1000.00,0.00,0.00
0.080,64.56,0.65,-0.00,1000.00,0.00,0.00
0.085,68.53,0.69,-0.00,1000.00,0.00,0.00
0.090,72.50,0.72,-0.00,1000.00,0.00,0.00
0.095,76.46,0.76,-0.00,1000.00,0.00,0.00
0.100,80.41,0.80,-0.00,1000.00,0.00,0.00
0.105,84.35,0.83,-0.00,1000.00,0.00,0.00
0.110,88.28,0.87,-0.00,1000.00,0.00,0.00
0.115,92.21,0.91,-0.00,1000.00,0.00,0.00
0.120,96.13,0.94,-0.00,1000.00,0.00,0.00
0.125,100.05,0.98,-0.00,1000.00,0.00,0.00
0.130,103.95,1.01,-0.00,1000.00,0.00,0.00
0.135,107.85,1.05,-0.00,1000.00,0.00,0.00
0.140,111.74,1.08,-0.00,1000.00,0.00,0.00
0.145,115.63,1.11,-0.00,1000.00,0.00,0.00
0.150,119.51,1.15,-0.00,1000.00,0.00,0.00
0.155,123.38,1.18,-0.00,1000.00,0.00,0.00
0.160,127.24,1.21,-0.00,1000.00,0.00,0.00
0.165,131.10,1.25,-0.00,1000.00,0.00,0.00
0.170,134.95,1.28,-0.00,1000.00,0.00,0.00
0.175,138.79,1.31,-0.00,1000.00,0.00,0.00
0.180,142.63,1.34,-0.00,1000.00,0.00,0.00
0.185,146.46,1.38,-0.00,1000.00,0.00,0.00
0.190,150.28,1.41,-0.00,1000.00,0.00,0.00
0.195,154.10,1.44,-0.00,1000.00,0.00,0.00
0.200,157.90,1.47,-0.00,1000.00,0.00,0.00
0.205,161.71,1.50,-0.00,1000.00,0.00,0.00
